,facility_code,step,slot_expanded
1008,608383,step1,0.0
1009,608383,step2,0.0
1010,608383,step3,0.0
1011,244334,step1,-0.0
1012,244334,step2,0.0
1013,244334,step3,0.0
1014,64926,step1,0.0
1015,64926,step2,0.0
1016,64926,step3,0.0
1017,64855,step1,0.0
1018,64855,step2,0.0
1019,64855,step3,0.0
1020,867540,step1,0.0
1021,867540,step2,0.0
1022,867540,step3,0.0
1023,73512,step1,14.0
1024,73512,step2,0.0
1025,73512,step3,0.0
1026,788379,step1,0.0
1027,788379,step2,0.0
1028,788379,step3,0.0
1029,744778,step1,8.0
1030,744778,step2,0.0
1031,744778,step3,0.0
1032,848766,step1,0.0
1033,848766,step2,0.0
1034,848766,step3,0.0
1035,750783,step1,0.0
1036,750783,step2,0.0
1037,750783,step3,0.0
1038,136955,step1,0.0
1039,136955,step2,0.0
1040,136955,step3,0.0
1041,856735,step1,-0.0
1042,856735,step2,0.0
1043,856735,step3,0.0
1044,241556,step1,-0.0
1045,241556,step2,0.0
1046,241556,step3,0.0
1047,158181,step1,0.0
1048,158181,step2,0.0
1049,158181,step3,0.0
1050,443640,step1,0.0
1051,443640,step2,0.0
1052,443640,step3,0.0
1053,829643,step1,0.0
1054,829643,step2,0.0
1055,829643,step3,0.0
1056,340205,step1,0.0
1057,340205,step2,0.0
1058,340205,step3,0.0
1059,744779,step1,0.0
1060,744779,step2,0.0
1061,744779,step3,0.0
1062,129992,step1,8.0
1063,129992,step2,0.0
1064,129992,step3,0.0
1065,64934,step1,0.0
1066,64934,step2,0.0
1067,64934,step3,0.0
1068,265034,step1,0.0
1069,265034,step2,0.0
1070,265034,step3,0.0
1071,688240,step1,0.0
1072,688240,step2,0.0
1073,688240,step3,0.0
1074,825247,step1,0.0
1075,825247,step2,0.0
1076,825247,step3,0.0
1077,678331,step1,-0.0
1078,678331,step2,0.0
1079,678331,step3,0.0
1080,827584,step1,0.0
1081,827584,step2,0.0
1082,827584,step3,0.0
1083,709889,step1,8.0
1084,709889,step2,0.0
1085,709889,step3,0.0
1086,709887,step1,0.0
1087,709887,step2,0.0
1088,709887,step3,0.0
1089,259483,step1,-0.0
1090,259483,step2,0.0
1091,259483,step3,0.0
1092,576937,step1,0.0
1093,576937,step2,0.0
1094,576937,step3,0.0
1095,138540,step1,-0.0
1096,138540,step2,0.0
1097,138540,step3,0.0
1098,887437,step1,-0.0
1099,887437,step2,0.0
1100,887437,step3,0.0
1101,894234,step1,0.0
1102,894234,step2,0.0
1103,894234,step3,0.0
1104,883598,step1,0.0
1105,883598,step2,0.0
1106,883598,step3,0.0
1107,902587,step1,0.0
1108,902587,step2,0.0
1109,902587,step3,0.0
1110,894648,step1,16.0
1111,894648,step2,0.0
1112,894648,step3,0.0
1113,902748,step1,12.0
1114,902748,step2,0.0
1115,902748,step3,0.0
1116,894459,step1,11.0
1117,894459,step2,0.0
1118,894459,step3,0.0
1119,893629,step1,0.0
1120,893629,step2,0.0
1121,893629,step3,0.0
1122,902023,step1,0.0
1123,902023,step2,0.0
1124,902023,step3,0.0
1125,898288,step1,0.0
1126,898288,step2,0.0
1127,898288,step3,0.0
1128,914994,step1,-0.0
1129,914994,step2,0.0
1130,914994,step3,0.0
1131,499128,step1,0.0
